rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Louisville,Louisville,12.1828307888049,15.3164935666461,27.499324355451,5.9759825074867,-16.0284445851447,11,1,67.1880031537581,124,236,35,5,#FFBC69,#FF9D23,#FF9D23,#FFE3CC,#CCD5BF,Louisville performs at a similar level against both good and bad teams.,Louisville performs at a similar level regardless of the pace of the game.
2,Kansas,Kansas,11.9488548506819,14.7407871422246,26.6896419929066,72.4525879978791,-4.27996986833549,13,3,67.7859227175287,103,11,31,6,#FFBE6C,#FFA12B,#FFA029,#93003A,#E5E2BC,Kansas plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Kansas performs at a similar level regardless of the pace of the game.
3,Gonzaga,Gonzaga,16.0935343883262,9.71657557635928,25.8101099646855,11.5998921902773,-8.94902386785443,2,16,65.4442641299745,216,107,31,3,#FFA739,#FFC173,#FFA330,#FFCAB9,#DBDDBD,Gonzaga performs at a similar level against both good and bad teams.,Gonzaga performs at a similar level regardless of the pace of the game.
4,Michigan,Michigan,17.8718289203891,6.72311849880417,24.5949474191933,33.5599690529543,6.82363895682195,1,43,64.7972723641033,257,68,30,8,#FF9D23,#FFD49E,#FFA83A,#E76776,#F1DAB0,Michigan plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Michigan performs at a similar level regardless of the pace of the game.
5,Florida,Florida,12.4044948990234,12.0178034303277,24.4222983293511,-68.0550554703019,-50.9214490628304,10,8,63.2512527436,301,31,28,9,#FFBB66,#FFB252,#FFA83B,#00429D,#80AEC5,Florida plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Florida plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
6,Saint Louis,Saint Louis,9.45736832860558,14.9362920207212,24.3936603493268,77.036844999531,14.5130807229806,24,2,65.0096310126047,244,77,29,6,#FFCB8A,#FFA028,#FFA83C,#93003A,#F3CBA2,Saint Louis plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Saint Louis performs at a similar level regardless of the pace of the game.
7,Indiana,Indiana,14.7673301351645,8.91546708901866,23.6827972241831,-90.4721436363104,27.6340965075257,3,22,68.38240037602,80,170,28,8,#FFAE49,#FFC67F,#FFAB41,#00429D,#F8B28C,Indiana plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Indiana plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
8,Syracuse,Syracuse,9.28335073613579,13.9195001658161,23.2028509019519,-31.9078601113363,44.8945267480351,26,5,66.2434570331118,187,72,31,9,#FFCC8C,#FFA637,#FFAD45,#79A7C7,#FD926E,Syracuse plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Syracuse plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
9,Duke,Duke,14.7197136060768,7.81605419406983,22.5357678001466,-25.465121850314,-61.6105629175527,4,30,67.8746814251106,102,50,29,7,#FFAF4A,#FFCD8E,#FFAF4B,#8ABBCE,#70A6C7,Duke plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Duke plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
10,Ohio State,Ohio State,10.4641914912002,11.4784042852029,21.9425957764031,-38.0038407068267,15.2423474446024,19,10,65.4728397381163,215,54,28,9,#FFC67E,#FFB65A,#FFB14F,#6895C0,#F4CAA1,Ohio State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Ohio State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
