rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,home_rank,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
1,Louisville,Louisville,13.2821957076961,16.2662606689284,29.5484563766245,-39.097190251909,7.12048483315982,7,3,68.8710526671693,81,153,31,5,#FFB85F,#FFA22E,#FF9D23,#77A6C6,#F0DFB4,Louisville plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Louisville performs at a similar level regardless of the pace of the game.
2,Florida,Florida,12.355640698927,17.1403607912238,29.4960014901508,49.0938877887024,34.7895987191632,9,1,63.5628069886667,331,163,35,4,#FFBD6A,#FF9D23,#FF9E23,#CB395A,#F5C099,Florida plays much better against good teams than bad teams. They compete at a higher level against tough opposition but struggle against weaker opponents.,Florida plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
3,Arizona,Arizona,10.9525000075893,17.0078250080112,27.9603250156005,-7.48440328542153,7.03433836874033,17,2,65.0785513802667,280,42,33,5,#FFC47B,#FF9E25,#FFA32F,#E1EEDC,#F0DFB4,Arizona performs at a similar level against both good and bad teams.,Arizona performs at a similar level regardless of the pace of the game.
4,Wisconsin,Wisconsin,16.927030739894,9.27089499789588,26.1979257377899,-7.4817444516971,-63.2798585037966,4,23,64.2394682745333,310,273,28,10,#FFA533,#FFCA88,#FFA83C,#E1EEDC,#7BACC5,Wisconsin performs at a similar level against both good and bad teams.,Wisconsin plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
5,Michigan State,Michigan State,13.962744149404,11.2651992451109,25.2279433945149,-33.4064210893848,43.1889942975596,6,12,66.5353276320042,197,327,29,8,#FFB457,#FFBF6E,#FFAC43,#84B4CC,#F7B790,Michigan State plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Michigan State plays a little better in faster paced games. They have slightly stronger performances in games with more possessions but are a little worse in games with less possessions.
6,Duke,Duke,17.8840295175906,5.48852928470482,23.3725588022954,-13.0695969080101,7.8413102835059,3,65,66.8262247437867,182,44,26,9,#FFA028,#FFDFB8,#FFB251,#CAE2D9,#F0DEB4,Duke performs at a similar level against both good and bad teams.,Duke performs at a similar level regardless of the pace of the game.
7,Kansas,Kansas,13.2460515807407,9.64254414879314,22.8885957295339,18.5707729351459,-25.7234264999401,8,21,68.5023038826813,99,22,26,9,#FFB85F,#FFC883,#FFB354,#FFB2A8,#C0CFC0,Kansas plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,Kansas plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
8,Tennessee,Tennessee,11.7960575646074,10.3228120683697,22.1188696329772,9.54467125431027,-71.4663183361237,14,15,63.9198038474667,319,49,23,13,#FFC071,#FFC47A,#FFB65A,#FFD7C3,#70A6C7,Tennessee performs at a similar level against both good and bad teams.,Tennessee plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
9,Virginia,Virginia,8.07285554704158,13.9332941970949,22.0061497441365,-6.98223919649043,-24.0557425314141,38,6,62.1582366646667,345,78,28,9,#FFD49E,#FFB04C,#FFB65B,#E3EFDC,#C3D0BF,Virginia performs at a similar level against both good and bad teams.,Virginia plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
10,Michigan,Michigan,17.9278693232492,3.91924260870436,21.8471119319535,-49.4215362201713,3.19463480231525,2,99,62.8706506966667,339,100,28,9,#FF9F27,#FFE8CC,#FFB75C,#608CBD,#EFE3B8,Michigan plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Michigan performs at a similar level regardless of the pace of the game.
